intercept,x-1,x,x2,x3,x4,x5,y
1.0,10.0,0.1,0.010000000000000002,0.0010000000000000002,0.00010000000000000002,1.0000000000000003e-05,-5.656280251939532
1.0,7.564102564102564,0.13220338983050847,0.017477736282677393,0.002310615983133621,0.0003054712655668177,4.038433680374878e-05,-6.174362907516811
1.0,6.082474226804123,0.16440677966101697,0.027029589198506183,0.00444384771568661,0.000730598692240002,0.00012011537821572916,-5.596147081614791
1.0,5.086206896551724,0.19661016949152543,0.03865555874748636,0.0076000759571329115,0.001494252222080369,0.0002937851826463099,-4.479936585038157
1.0,4.37037037037037,0.2288135593220339,0.052355644929617924,0.011979681466946475,0.0027411135559962272,0.000627203949253374,-3.493017976641643
1.0,3.8311688311688314,0.26101694915254237,0.06812984774490088,0.017783045004601247,0.0046416761537433765,0.0012115561486042033,-2.4979784013039232
1.0,3.410404624277456,0.2932203389830509,0.08597816719333527,0.025210547329571193,0.007392245233925114,0.002167556653337364,-3.055795770906142
1.0,3.072916666666667,0.3254237288135593,0.10590060327492098,0.034462569201330215,0.011214937773992205,0.003649606868824582,-1.8281536310057975
1.0,2.796208530805687,0.3576271186440678,0.12789715598965817,0.04573949137935233,0.016357682510242954,0.005849950863832649,-2.7633336126078736
1.0,2.565217391304348,0.38983050847457623,0.15196782533754666,0.0592416946231114,0.023094219937823086,0.00900283150118527,-3.6498449995592854
1.0,2.3694779116465865,0.42203389830508475,0.17811261131858663,0.07516955969208147,0.03172410231072591,0.013388646568425004,-2.8224527508731145
1.0,2.2014925373134333,0.45423728813559316,0.20633151393277788,0.09372346734573639,0.042572693641792114,0.01933810490847506,-2.194381645271557
1.0,2.0557491289198606,0.4864406779661017,0.23662453318012064,0.11510379834355021,0.055991169702710016,0.02723638255030131,-3.9198112289025406
1.0,1.9281045751633985,0.5186440677966102,0.2689916690606148,0.13951093344499685,0.07235651802401531,0.037527278839574046,-1.5863864375810748
1.0,1.8153846153846154,0.5508474576271186,0.3034329215742602,0.16714525340955014,0.09207153789509116,0.05071737256932988,-2.865032387418518
1.0,1.7151162790697674,0.5830508474576271,0.3399482907210572,0.1982071389966842,0.11556484036416842,0.06738017811063379,-1.5602963675133268
1.0,1.62534435261708,0.6152542372881356,0.3785377765010054,0.2328969709658728,0.14329084823832514,0.0881603015432407,-2.2707488193439436
1.0,1.544502617801047,0.6474576271186441,0.41920137891410514,0.2714151300765901,0.17572979608348716,0.11377759678625779,-2.728709705423608
1.0,1.4713216957605986,0.6796610169491525,0.46193909796035615,0.31396199708830985,0.2133877302244275,0.1450313217288058,-0.34012740647432294
1.0,1.4047619047619049,0.711864406779661,0.5067509336397586,0.3607379527605062,0.2567965087447671,0.18280429436068166,-0.9093006243211748
1.0,1.343963553530752,0.7440677966101694,0.5536368859523124,0.4119433778526528,0.3065138014869738,0.2280670489030195,-2.9390439013554337
1.0,1.2882096069868996,0.7762711864406779,0.6025969548980178,0.46777865312422395,0.36312309005236365,0.28188199193895347,-2.1595202567549574
1.0,1.236897274633124,0.8084745762711864,0.6536311404768743,0.5284441593346932,0.4272336678010994,0.3454075585442786,-0.6236014747639043
1.0,1.1895161290322582,0.8406779661016949,0.7067394426888824,0.594140277243535,0.49948063985219215,0.41990236841811407,-0.011317343449041894
1.0,1.145631067961165,0.8728813559322034,0.761921861534042,0.6650673876102231,0.5805249230834998,0.5067293820135634,-1.655562853424691
1.0,1.104868913857678,0.9050847457627118,0.8191783970123526,0.741425871194231,0.6710532461317277,0.6073600566683772,-1.6098349490045072
1.0,1.0669077757685352,0.9372881355932203,0.878509049123815,0.8234161087550333,0.7717781493924295,0.7233785027356162,-2.2819304838457675
1.0,1.0314685314685315,0.9694915254237287,0.9399138178684284,0.9112384810521035,0.8834379850200054,0.8564856397143101,-2.051739185323719
1.0,0.9983079526226734,1.0016949152542374,1.0033927032461938,1.0050933688449162,1.0067969169277042,1.0085033523801243,-2.4488906643962247
1.0,0.9672131147540984,1.0338983050847457,1.0689457052571099,1.105181152892944,1.14264492078762,1.1813786469160137,-0.5753616628909076
1.0,0.9379968203497616,1.0661016949152542,1.1365728239011776,1.2117022139556624,1.2917977840306976,1.3771878070428962,0.43687836891712184
1.0,0.9104938271604939,1.0983050847457627,1.206274059178397,1.3248569327925446,1.4550971058467268,1.5981405501503034,-1.9978075286972254
1.0,0.8845577211394302,1.1305084745762712,1.2780494110887677,1.4448456901630646,1.633410297184346,1.8465841834270489,1.250976655337431
1.0,0.8600583090379008,1.1627118644067798,1.3518988796322897,1.5718688668266965,1.8276305807510405,2.1250077599918877,-0.7279618059568378
1.0,0.8368794326241134,1.1949152542372883,1.4278224648089632,1.706126843542914,2.0386769910131433,2.43604623502418,-2.0360403446478927
1.0,0.8149171270718232,1.2271186440677966,1.5058201666187876,1.8478200010711903,2.2674943741958336,2.782484621894548,-0.11992028735979154
1.0,0.7940780619111709,1.259322033898305,1.5858919850617639,1.997148720171001,2.515053388283142,3.16726214829555,0.1855670318072392
1.0,0.774278215223097,1.2915254237288136,1.6680379201378916,2.1543133816018196,2.7823505030179434,3.593476412372327,-0.8571490401193744
1.0,0.7554417413572343,1.3237288135593221,1.7522579718471707,2.3195143661231192,3.07040799990196,4.064387538853273,-1.9287402242844727
1.0,0.7375,1.3559322033898304,1.8385521401896006,2.4929520544943733,3.3802739721957606,4.583422335180692,-2.2563590624771286
1.0,0.7203907203907204,1.388135593220339,1.9269204251651824,2.674826827475058,3.713022324918767,5.154178447641475,-0.29961523371188653
1.0,0.7040572792362768,1.4203389830508475,2.0173628267739154,2.8653390658246463,4.069752774849244,5.7804285174977394,0.7207312979826315
1.0,0.6884480746791132,1.452542372881356,2.1098793450158,3.0646891503026117,4.451590850524302,6.466124337117504,0.11358161367763658
1.0,0.6735159817351598,1.4847457627118645,2.2044699798908365,3.2730774616684286,4.859687892239904,7.21540100610535,-1.8822680578166942
1.0,0.659217877094972,1.5169491525423728,2.301134731399023,3.490704380681569,5.295221052050854,8.032581087433075,-0.19070448875223417
1.0,0.6455142231947484,1.5491525423728814,2.399873599540362,3.71777028810151,5.759393293770814,8.922178763570379,-0.1617529001828499
1.0,0.6323687031082529,1.5813559322033899,2.500686584314852,3.954475564687724,6.2534333929722825,9.888903992615491,-0.38981110547264297
1.0,0.6197478991596638,1.6135593220338984,2.603573685722494,4.201020591199685,6.778595936986611,10.937666664425855,1.5910525314109085
1.0,0.607621009268795,1.645762711864407,2.708534903763287,4.457605748396867,7.336161324903998,12.073580756748784,0.07636143575788988
1.0,0.595959595959596,1.6779661016949152,2.8155702384372305,4.724431417038743,7.927435767573484,13.301968491352117,-0.2409761157089756
1.0,0.5847373637264618,1.7101694915254237,2.9246796897443263,5.001697977884789,8.553751287602969,14.628364490154908,-1.5926724374245893
1.0,0.5739299610894941,1.7423728813559323,3.0358632576845737,5.289605811694478,9.216465719359192,16.05851993135805,0.2961777566483491
1.0,0.5635148042024832,1.7745762711864408,3.1491209422579725,5.588355299227283,9.91696270896774,17.598406705574956,-0.18449724951869134
1.0,0.5534709193245779,1.806779661016949,3.2644527434645214,5.898146821242678,10.65665171431304,19.254221571962205,0.2591590965129319
1.0,0.543778801843318,1.8389830508474576,3.3818586613042227,6.219180758500139,11.436968005038391,21.03239031435026,2.410951820600028
1.0,0.5344202898550725,1.8711864406779661,3.5013386957770756,6.551657491759138,12.259372662545914,22.939571897374048,0.8955526411992436
1.0,0.5253784505788067,1.9033898305084747,3.62289284688308,6.89577740177915,13.125352579996587,24.982662622603677,0.39514134540689194
1.0,0.5166374781085814,1.9355932203389832,3.7465211146222357,7.25174086931965,14.036420462310238,27.168800284675072,0.43681924069118816
1.0,0.508182601205857,1.9677966101694915,3.8722234989945417,7.619748275140107,14.99411482616553,29.505368327420644,1.7928621590386769
1.0,0.5,2.0,4.0,8.0,16.0,32.0,1.3514456389939988
