intercept,x,y
1.0,0.1,-8.091917781751413
1.0,0.16440677966101697,-6.260056887638429
1.0,0.26101694915254237,-3.538749072768148
1.0,0.2932203389830509,-1.958936275897164
1.0,0.38983050847457623,-2.7459808353447754
1.0,0.42203389830508475,-3.556019198542569
1.0,0.45423728813559316,-1.8799267170363976
1.0,0.4864406779661017,-2.450615642537973
1.0,0.5186440677966102,-2.2677009584841827
1.0,0.5830508474576271,-2.554075757624642
1.0,0.6152542372881356,-2.45164474413743
1.0,0.6474576271186441,-2.301541680587566
1.0,0.6796610169491525,-1.1877989514832683
1.0,0.7440677966101694,-3.116055825897458
1.0,0.8084745762711864,-2.652099748836511
1.0,0.8406779661016949,-0.8171562570304114
1.0,0.8728813559322034,-1.8318653620771053
1.0,0.9050847457627118,-1.814521159409632
1.0,0.9372881355932203,-0.3750609645715526
1.0,0.9694915254237287,-0.4692532125646272
1.0,1.0016949152542374,-1.4196784312293331
1.0,1.0661016949152542,-0.0854055432722321
1.0,1.0983050847457627,-0.5559714770622066
1.0,1.259322033898305,-2.039799659444127
1.0,1.3237288135593221,2.1550503295594026
1.0,1.3559322033898304,-1.0654611107897012
1.0,1.388135593220339,-0.5472279480403184
1.0,1.452542372881356,0.9738737788526756
1.0,1.5169491525423728,-1.311263864921622
1.0,1.5813559322033899,0.766370300922903
1.0,1.645762711864407,0.7359888181514959
1.0,1.6779661016949152,2.0271652954256663
1.0,1.7423728813559323,0.5643193911625218
1.0,1.7745762711864408,0.1429606511810334
1.0,1.806779661016949,1.162155604978424
1.0,1.8389830508474576,0.3451723281563431
1.0,1.8711864406779661,-1.0719145177547196
1.0,1.9033898305084747,0.9416937825349724
1.0,1.9355932203389832,0.6993308606882462
1.0,1.9677966101694915,0.8923603715300619
1.0,2.0,1.7094600650742324
